locus_tag	symbol	old_locus_tag	product	GO_process	biotype	tpm_lw1	tpm_lw2	tpm_lw3	tpm_ld1	tpm_ld2	tpm_ld3	tpm_lc1	tpm_lc2	tpm_lc3	tpm_sw1	tpm_sw2	tpm_sw3	tpm_sd1	tpm_sd2	tpm_sd3	tpm_sc1	tpm_sc2	tpm_sc3	base_mean_rl_dw	logfc_rl_dw	padj_rl_dw	base_mean_rl_dc	logfc_rl_dc	padj_rl_dc	base_mean_rl_dwc	logfc_rl_dwc	padj_rl_dwc	base_mean_rs_dw	logfc_rs_dw	padj_rs_dw	base_mean_rs_dc	logfc_rs_dc	padj_rs_dc	base_mean_rs_dwc	logfc_rs_dwc	padj_rs_dwc	de_rl_dw	de_rl_dc	de_rl_dwc	de_rs_dw	de_rs_dc	de_rs_dwc	de_cat_rl	de_cat_rs
SPY_RS00005	dnaA	SPy_0002	chromosomal replication initiator protein DnaA	GO:0006270 - DNA replication initiation [Evidence IEA] | GO:0006275 - regulation of DNA replication [Evidence IEA]	mRNA	14.13028683377061	14.161219083479969	12.405448992946468	11.858499329888794	8.457616954344008	10.172881477620187	14.314466341841158	17.915124959482704	10.646006570313727	6.049459447090927	6.030372822635525	5.127389488966742	8.149691678450985	9.093294395786415	9.973017224063275	6.798445989231816	4.6074809698672565	4.8231021112142205	343.899538170211	-0.185963562500146	0.46600304122491	371.439597096049	-0.231492034504293	0.363344291044655	368.861246866208	-0.169461754089417	0.549401962595211	365.464737811641	-0.162259135405284	0.461592193476351	353.377134020123	0.0196047057294849	0.955466733391645	326.251624464114	-0.14966051694137	0.523861337383686	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00010	dnaN	SPy_0003	DNA polymerase III subunit beta	GO:0006260 - DNA replication [Evidence IEA]	mRNA	21.741637012689715	17.806260321104713	22.313603136930055	16.12334516399239	14.782169201432843	16.86781331533019	19.403337888633033	22.079475481762575	14.784130652701746	7.6186796506856576	9.094906054329105	8.490741996579988	10.423089714089034	14.068272747442013	18.599858814987257	8.84702799543323	6.827868165226103	7.456413114375937	446.62628867897	-0.144405121489912	0.553885128536648	444.672046393637	-0.0797314532429642	0.771170170380709	452.246723475387	-0.133514908730517	0.618550391058469	466.236423171634	-0.0991419304779607	0.66685492593339	448.427607968408	0.0926067253567831	0.711022425297349	409.429647795768	-0.093263905484156	0.706064215707821	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00015	yyzM	SPy_0004	DUF951 family protein	-	mRNA	52.64746531093995	48.371715196335764	30.640781119190184	45.26985390564626	33.95419471116999	49.21765355360054	55.95020236673524	49.69132275090527	31.443240838237717	9.280237425743366	6.8121924794283215	8.422818564697003	20.330089223372934	22.212841897910224	19.124016058749213	12.733001051655167	5.779741354639963	4.62161324636115	182.734275837705	0.0202900353806809	0.946953363903411	196.372200784531	-0.00963490365386259	0.969465977574272	187.154054253646	0.0197859791985148	0.959274087423021	97.1716491382022	0.294959799980136	0.261450186996247	94.1009544216509	0.56442955983347	0.0536792685627212	79.9863025433846	0.261707963474683	0.332785752567738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00020	ychF	SPy_0006	redox-regulated ATPase YchF	-	mRNA	167.10920114479381	131.9175928242453	101.8064662992448	132.05970025709354	87.81057300161969	119.9376727634066	133.54312155743784	154.87431886314738	122.4511371031048	20.257753297727238	19.237118816235085	19.279491108107	51.37105194160845	42.389080107984014	42.72373172835119	30.486181729410937	18.956745402053652	17.94273377999035	2923.9019425548	-0.0841454843184447	0.755348409941098	3139.54213332258	-0.127837793185853	0.627376009060016	3061.50389976067	-0.0784506380513018	0.80221696314776	1249.8411060852	0.291150723834045	0.0964429904429335	1325.33904515088	0.264640711823118	0.155289486280367	1111.92701484307	0.292206825285032	0.111683674500073	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00025	pth	SPy_0007	aminoacyl-tRNA hydrolase	GO:0006412 - translation [Evidence IEA]	mRNA	9.405291547277695	7.48639886050637	6.57970457717347	4.267171629720266	4.301565472387232	4.29368138427229	6.9767863679977555	7.029043863896367	5.188134738309224	1.2664384156183615	1.9226516932070725	1.4835149673624966	4.386354654274644	4.501023226681808	4.519101539124412	2.457245816986085	1.3022916508890046	1.1332252913678116	73.5514823263826	-0.358930614461824	0.20760842055158	68.7992506326064	-0.148461352425256	0.491816670658272	75.4968279360466	-0.264897683730626	0.299816268878862	57.5145681568195	0.418514874885644	0.1425228961739	58.545198121305	0.476584939221199	0.104161990956062	47.8907509494406	0.346731374185279	0.22196807357123	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00030	mfd	SPy_0008	transcription-repair coupling factor	GO:0006281 - DNA repair [Evidence IEA]	mRNA	7.352357618888362	7.225742279175954	5.1942420047942255	4.460531226970084	3.295554192554734	4.546329510557303	5.458436497141101	6.556591440150428	4.697305210412675	1.4139989937768833	1.7322099027313456	1.441247774371147	2.8755408893648076	3.9672581190586356	4.7562769880527735	2.0276868113081004	1.5270521748259696	1.6898122566771734	397.859218683809	-0.421081955939771	0.131613617851154	380.542832395525	-0.215415801248757	0.397090425144038	406.914813690101	-0.396543383819491	0.17376930851078	322.116475881647	0.359420738873949	0.0953080898323387	344.566597530688	0.290225241849662	0.18893699780557	283.810706843895	0.35075667676593	0.123349245303172	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00035	yabO	SPy_0009	RNA-binding S4 domain-containing protein	-	mRNA	23.455809505878744	19.278162633465122	16.970278773705328	19.303871658258345	17.67286204359022	20.211615067623406	23.41111595226876	23.96464947894004	19.099177333336154	5.048041237080182	4.631916589721181	5.076374476231254	11.35632040161655	11.027961146332979	11.133874341447177	7.5558467779052645	4.871667943115003	6.112359859117592	114.085979685366	0.00828405715572498	0.980449903787326	127.234594396687	-0.0550964784984076	0.849182748839136	120.044696460303	0.00657957811908329	0.981428193676069	75.9584941323815	0.183148294726233	0.490754989034899	84.6535674306438	0.0696792033801869	0.810411390103921	70.2065050247891	0.163496264931658	0.548061196331456	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00040	divIC	SPy_0010	septum formation initiator family protein	-	mRNA	14.811648650842784	14.657510313805034	11.416161997633761	13.80330607821699	8.71727238030607	11.96186895911635	17.05347359151525	17.586960504705996	11.924341938855875	3.2635857997789888	3.0970754115142873	3.8516887257462673	9.67827930168986	8.093100518679847	10.10966747542832	3.2859357552658497	1.9954468844267004	2.3875411884664577	99.5417137587353	-0.0592170473992893	0.815968559978706	112.481535405904	-0.133539402958075	0.57397426954583	108.074554004142	-0.0519189833098887	0.859893822868994	79.5039393200088	0.388893475859202	0.147213129814786	72.5871565037477	0.960290167609149	0.0040797991597943	62.0467660084343	0.331498346167712	0.235897520425013	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00045	SPy_0012	SPy_0012	serine hydrolase	-	mRNA	13.22936307813363	13.336299239203006	10.927831028522371	11.44433106080118	12.168200095586709	13.83003963571494	13.867998877224977	17.851046158731233	10.460924355798317	3.9772446110328707	3.0130851351317576	2.993157626457873	8.139806387571198	8.42135214810882	9.426909014830853	4.808266131394259	3.196281081775946	3.1995784013269506	346.639010361132	0.0353068494437954	0.909479214128854	385.408808237102	-0.0402137710030058	0.886445219721539	361.557882414083	0.0337115722127926	0.923714108414702	261.458997581172	0.415637684296754	0.0648842381924532	275.854792273952	0.394173525103976	0.0759324768571213	227.136766067907	0.404046416867021	0.0895088249823636	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00050	tilS	SPy_0013	tRNA lysidine(34) synthetase TilS	GO:0006400 - tRNA modification [Evidence IEA]	mRNA	22.910325563881564	21.809638534829226	16.1560482264821	15.889071258727022	14.657150115138537	15.627944788357881	24.278194320871307	24.668333102352655	17.686822971508718	6.322799125231743	5.917000518990625	5.365782574259846	10.432162363068576	9.458765093890344	11.728595929279999	9.042706263568627	5.190952734312815	5.207157006081116	491.517447979816	-0.171372185057877	0.490145929138118	545.605540187256	-0.308882994113359	0.222170070069514	534.510954852899	-0.158204781505843	0.563547114066977	376.569166312776	-0.0223264067751473	0.935103465035652	391.821949744343	0.00874322626048515	0.98090605189925	345.321128349694	-0.0163842308605649	0.951741651391113	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
SPY_RS00055	hpt	-	hypoxanthine phosphoribosyltransferase	GO:0006166 - purine ribonucleoside salvage [Evidence IEA]	mRNA	138.8613256322803	122.68226984727903	70.69386848272829	87.84505868794913	51.927737884895585	77.76933102944615	108.37329890357995	133.46777393429628	63.275179197887354	18.974313379154054	17.905528022585766	17.9087304071108	40.9336555057199	47.923285973115696	41.555760230489895	29.077203138218064	18.28424672829659	20.321880800541557	1048.66198462745	-0.292011653469715	0.261734113709307	1051.31540648554	-0.163605601975747	0.491816670658272	1094.62813627679	-0.297905561662208	0.289370528827144	576.974053655861	0.30863948926817	0.122713184286152	635.117197198637	0.172114099794052	0.431243367172695	524.010708380991	0.307595323049263	0.139554590255457	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
